City,Region,Country,AirQuality,WaterPollution,Population
New York City,New York,United States of America,46.81603774,49.5049505,8399000
"Washington, D.C.",District of Columbia,United States of America,66.12903226,49.10714286,689545
San Francisco,California,United States of America,60.51401869,43,874961
Berlin,,Germany,62.36413043,28.61271676,4890363
Los Angeles,California,United States of America,36.62162162,61.29943503,3980000
Bern,Canton of Bern,Switzerland,94.31818182,12.5,134506
Geneva,Canton of Geneva,Switzerland,71.53846154,17.37288136,203840
Zurich,Canton of Zurich,Switzerland,83.80952381,10.71428571,447082
Basel,,Switzerland,81.66666667,26.92307692,173552
London,England,United Kingdom,37.04225352,40.71637427,11262000
Cairo,Cairo Governorate,Egypt,15.830721,74.35064935,
Alexandria,Alexandria Governorate,Egypt,41.03773585,71.2962963,4870000
Alexandria,Virginia,United States of America,89.0625,46.15384615,
Paris,Ile-de-France,France,34.02439024,43.12169312,11060000
Boston,Massachusetts,United States of America,78.23529412,32.91139241,675647
Toronto,Ontario,Canada,65.53468208,37.7994012,5647656
Sao Paulo,Sao Paulo,Brazil,24.05660377,73.71794872,23086000
Vilnius,,Lithuania,77.24719101,20.58823529,716856
Monaco,,Monaco,28.78787879,61.36363636,36371
Brussels,,Belgium,35.81081081,44.76190476,1235192
Poznan,Greater Poland Voivodeship,Poland,33.07692308,50.42372881,
Tashkent,,Uzbekistan,56.4516129,49.16666667,2956384
Warsaw,Masovian Voivodeship,Poland,27.27272727,36.01485149,1860281
Modena,Emilia-Romagna,Italy,39.0625,50,184153
Tours,,France,84.375,6.25,137658
Singapore,,Singapore,65.87837838,24.204947,5983000
Montreal,Quebec,Canada,70.76023392,36.96319018,3675219
Cambridge,England,United Kingdom,69.82758621,30.55555556,123867
Cologne,North Rhine-Westphalia,Germany,60.71428571,27.77777778,1084831
Skopje,Greater Skopje,North Macedonia,10.19417476,45.26315789,526502
Gdynia,Pomeranian Voivodeship,Poland,49.41860465,48.61111111,245222
Szczecin,West Pomeranian Voivodeship,Poland,41.37931034,53.75,396168
Ljubljana,Ljubljana City Municipality,Slovenia,72.16494845,17.58241758,284293
Plovdiv,Plovdiv region,Bulgaria,31.41025641,36.29032258,346893
Sofia,Sofia City Province,Bulgaria,23.62132353,40.94339623,1547779
Milan,Lombardy,Italy,24.39759036,39.49044586,1354196
Trieste,Friuli-Venezia Giulia,Italy,58.87096774,29,198417
Lodz,Lodz Voivodeship,Poland,28.84615385,40.44117647,
Villeurbanne,,France,75,50,156928
Oslo,,Norway,74.75728155,14.17525773,1064235
Bonn,North Rhine-Westphalia,Germany,82.8125,22.5,336465
Katowice,Silesian Voivodeship,Poland,27.77777778,48.33333333,285711
Lisbon,Lisbon,Portugal,64.60674157,24.85632184,548703
Rzeszow,Podkarpackie Voivodeship,Poland,37.5,47.05882353,195871
Dubai,Emirate of Dubai,United Arab Emirates,48.87387387,39.84615385,3331420
Padua,Veneto,Italy,29.16666667,50,
Bergamo,Lombardy,Italy,46.66666667,35,119534
Venice,Veneto,Italy,36.25,67.85714286,250369
Rennes,,France,62.5,35,225081
Lille,,France,48.91304348,35.52631579,236710
Moscow,,Russia,41.47526502,49.72527473,17332000
Saint Petersburg,,Russia,43.10344828,54.8816568,5384342
Heilbronn,Baden-Wurttemberg,Germany,80,0,128334
Saginaw,Michigan,United States of America,85,70,
Bialystok,Podlaskie Voivodeship,Poland,34.52380952,52.94117647,
Nowy Sacz,Lesser Poland Voivodeship,Poland,30,100,
Lausanne,Canton of Vaud,Switzerland,78.26086957,17.5,141418
Abakan,Republic of Khakassia,Russia,0,75,181709
Novosibirsk,Novosibirsk Oblast,Russia,36.48648649,54.05405405,1625631
Yekaterinburg,Sverdlovsk Oblast,Russia,27.90697674,58.33333333,1468833
Samara,Samara Oblast,Russia,48.4375,51.5625,1169719
Omsk,Omsk Oblast,Russia,16.17647059,48.52941176,1172070
Kazan,Republic of Tatarstan,Russia,41.25,58.33333333,1259173
Chelyabinsk,Chelyabinsk Oblast,Russia,16.66666667,70.3125,1196680
Ufa,Bashkortostan,Russia,20.83333333,68.18181818,1115560
Volgograd,Volgograd Oblast,Russia,21.66666667,59.375,1004763
Perm,Perm Krai,Russia,44.44444444,50,1048005
Krasnoyarsk,Krasnoyarsk Krai,Russia,6.617647059,49.21875,1083865
Beijing,,People's Republic of China,21.36627907,70.78313253,21540000
Vladivostok,Primorsky Krai,Russia,35,67.5,597240
San Antonio,Texas,United States of America,63.41463415,50.67567568,1434625
Tomsk,Tomsk Oblast,Russia,46.42857143,51.78571429,572740
Tbilisi,,Georgia,22.98387097,49.34782609,1118035
Maribor,Maribor City Municipality,Slovenia,76.25,18.75,97019
Celje,City Municipality of Celje,Slovenia,50,8.333333333,37872
Koper,City Municipality of Koper,Slovenia,87.5,0,25753
Aachen,North Rhine-Westphalia,Germany,70.45454545,17.85714286,252136
Nova Gorica,City Municipality of Nova Gorica,Slovenia,75,12.5,13031
Kranj,City Municipality of Kranj,Slovenia,80.55555556,12.5,37553
Stuttgart,Baden-Wurttemberg,Germany,43.125,24.28571429,2787724
Biel/Bienne,Canton of Bern,Switzerland,37.5,31.25,55159
Karlsruhe,Baden-Wurttemberg,Germany,87.5,5.555555556,308707
Hamburg,,Germany,70.76271186,24.50980392,2484800
Ahmedabad,Gujarat,India,32.96296296,66.9921875,8009000
Salerno,Campania,Italy,60,58.33333333,127186
Prague,,Czech Republic,63.21243523,25.70621469,
Jamnagar,Gujarat,India,34.48275862,58.33333333,
Busto Arsizio,Lombardy,Italy,0,75,82951
Mumbai,Maharashtra,India,25.16025641,75.32537961,24973000
Jerusalem,Jerusalem District,Israel,37.09677419,42.39130435,936425
Grenoble,,France,34.09090909,26.47058824,157477
Dortmund,North Rhine-Westphalia,Germany,75,15.625,593317
Ghent,Flemish Region,Belgium,55.46875,27.67857143,
Chicago,Illinois,United States of America,57.43243243,53.62068966,2746388
Como,Lombardy,Italy,58.33333333,40,83184
Montevideo,Montevideo Department,Uruguay,65.78947368,46.75324675,1719453
Tolyatti,Samara Oblast,Russia,36.11111111,43.75,685619
Pittsburgh,Pennsylvania,United States of America,58.92857143,59.61538462,302971
Philadelphia,Pennsylvania,United States of America,54.28571429,55.64516129,1603797
Kolkata,West Bengal,India,25.93457944,68.26923077,
Chennai,Tamil Nadu,India,35.88435374,73.07017544,12395000
Delhi,,India,11.8441358,77.41679873,32226000
Dhaka,Dhaka Division,Bangladesh,14.96815287,78.25342466,18627000
Hyderabad,Telangana,India,31.49253731,70.10703364,
Islamabad,Islamabad Capital Territory,Pakistan,67.41803279,51.32743363,1014825
Zagreb,,Croatia,69.7740113,26.59883721,767131
Genoa,Liguria,Italy,51.72413793,30,558745
Manila,Metro Manila,Philippines,17.01570681,83.7431694,24922000
Quezon City,Metro Manila,Philippines,23.80952381,80.12820513,2960048
Le Mans,,France,95,50,145004
Caloocan,Metro Manila,Philippines,25,83.33333333,
Bordeaux,,France,68.47826087,42.64705882,994920
Buenos Aires,,Argentina,54.26470588,54.84375,16710000
